alphaH,alphaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.0125,0.001
0.0125,0.001
0.0125,0.0154
0.0191,0.0154
0.0191,0.0336
0.0191,0.0376
0.0191,0.0376
0.0191,0.0396
0.0191,0.0415
0.0191,0.0415
0.0191,0.0415
0.0191,0.0529
0.0191,0.0529
0.0191,0.0529
0.0191,0.0585
0.0193,0.0585
0.0193,0.0585
0.0342,0.0585
0.0342,0.0618
0.0342,0.0618
0.0342,0.0618
0.0342,0.0684
0.0474,0.0684
0.0474,0.0684
0.0474,0.0684
0.0474,0.0684
0.0474,0.0684
0.0474,0.0789
0.0474,0.0808
0.0474,0.0808
0.0474,0.0808
0.0474,0.0808
0.0474,0.0808
0.0474,0.0936
0.0474,0.0936
0.0474,0.0936
0.0474,0.0936
0.0474,0.0936
0.0474,0.0936
0.0474,0.0951
0.0474,0.0951
0.0474,0.0951
0.0558,0.0951
0.0558,0.0956
0.0558,0.0956
0.0558,0.0956
0.0558,0.1021
0.0558,0.1021
0.0558,0.1174
0.0558,0.1233
0.0558,0.1233
0.0558,0.1233
0.0558,0.1233
0.0622,0.1233
0.0622,0.1311
0.0622,0.1311
0.0622,0.1311
0.0622,0.1311
0.0693,0.1311
0.0693,0.1311
0.0693,0.1368
0.0693,0.1455
0.0693,0.155
0.0693,0.1672
0.0693,0.1672
0.0693,0.1854
0.0693,0.1889
0.0693,0.1889
0.0693,0.1946
0.0693,0.2054
0.0693,0.2054
0.0849,0.2054
0.0849,0.2145
0.0849,0.2145
0.0849,0.2208
0.0849,0.2264
0.0849,0.238
0.0849,0.2444
0.0849,0.2529
0.0849,0.2529
0.0849,0.256
0.0849,0.256
0.0849,0.256
0.0938,0.256
0.0938,0.268
0.0938,0.268
0.0938,0.268
0.0938,0.268
0.0938,0.268
0.0938,0.2778
0.0938,0.2842
0.0938,0.2863
0.0938,0.2863
0.0938,0.2891
0.0938,0.2963
0.0938,0.3033
0.0938,0.3177
0.0938,0.3418
0.0938,0.3471
0.0938,0.3481
0.0938,0.3619
0.0938,0.37
0.0938,0.3856
0.0938,0.3977
0.1064,0.3977
0.1064,0.4076
0.1223,0.4076
0.1223,0.4129
0.1223,0.4129
0.1223,0.4129
0.1223,0.4129
0.1223,0.4129
0.127,0.4129
0.127,0.4129
0.127,0.4142
0.127,0.4142
0.127,0.4142
0.1275,0.4142
0.1275,0.4142
0.1275,0.4142
0.1275,0.4246
0.1275,0.4299
0.1393,0.4299
0.1393,0.435
0.1393,0.435
0.1393,0.435
0.1393,0.435
0.1393,0.4571
0.1393,0.484
0.1393,0.484
0.1475,0.484
0.1548,0.484
0.1548,0.484
0.1548,0.484
0.1559,0.484
0.1559,0.484
0.1559,0.4893
0.1559,0.4893
0.1559,0.4893
0.1559,0.4989
0.1559,0.5024
0.1559,0.5025
0.1559,0.5125
0.1607,0.5125
0.1607,0.5134
0.1607,0.5134
0.1666,0.5134
0.1666,0.5134
0.1666,0.5239
0.1666,0.5239
0.1666,0.5288
0.1666,0.5288
0.1707,0.5288
0.1707,0.5307
0.1707,0.5307
0.1753,0.5307
0.1753,0.5307
0.1753,0.5307
0.1834,0.5307
0.1834,0.5379
0.1834,0.5397
0.1834,0.5397
0.1834,0.5397
0.1834,0.55
0.1834,0.5598
0.1834,0.5598
0.1834,0.5598
0.1834,0.5669
0.1834,0.5669
0.1834,0.5669
0.1834,0.5669
0.2103,0.5669
0.2103,0.5801
0.2103,0.5824
0.2103,0.5824
0.2103,0.5824
0.2103,0.5824
0.2103,0.5939
0.2103,0.5939
0.2103,0.6029
0.2103,0.6029
0.2103,0.6032
0.2103,0.6153
0.2103,0.6153
0.2103,0.6153
0.2103,0.6312
0.2103,0.6424
0.2103,0.6436
0.2103,0.6552
0.2103,0.6552
0.2103,0.6552
0.2103,0.6552
0.2103,0.6552
0.2103,0.6552
0.2103,0.6552
0.2134,0.6552
0.2134,0.6603
0.2134,0.6634
0.2134,0.6656
0.2233,0.6656
0.2233,0.6656
0.2292,0.6656
0.2292,0.6656
0.2292,0.67
0.2292,0.67
0.2292,0.6718
0.2378,0.6718
0.2378,0.6718
0.2378,0.6776
0.2378,0.6776
0.2378,0.6776
0.2378,0.6837
0.2378,0.6837
0.2378,0.693
0.2378,0.693
0.2438,0.693
0.2438,0.693
0.2438,0.693
0.2438,0.7
0.2438,0.7
0.2438,0.7039
0.2438,0.7039
0.2438,0.7101
0.2468,0.7101
0.2468,0.7101
0.2468,0.719
0.2468,0.7446
0.2468,0.7446
0.2468,0.7446
0.256,0.7446
0.256,0.7456
0.2685,0.7456
0.2685,0.7456
0.2685,0.7456
0.2685,0.7577
0.277,0.7577
0.277,0.7577
0.277,0.7583
0.277,0.7583
0.277,0.7583
0.277,0.7583
0.277,0.7583
0.277,0.7583
0.277,0.7862
0.277,0.7862
0.2916,0.7862
0.2992,0.7862
0.2992,0.7862
0.2992,0.7862
0.2992,0.7862
0.3022,0.7862
0.3022,0.7889
0.3022,0.7889
0.3022,0.7889
0.3022,0.7965
0.3022,0.7965
0.3022,0.8052
0.3022,0.8072
0.3022,0.8072
0.3022,0.8118
0.3022,0.8274
0.3022,0.8294
0.3022,0.8294
0.3022,0.8294
0.3022,0.8294
0.3151,0.8294
0.3151,0.8294
0.3151,0.8387
0.3151,0.8534
0.3151,0.8791
0.3151,0.882
0.3151,0.882
0.3151,0.882
0.3151,0.882
0.328,0.882
0.328,0.882
0.328,0.882
0.328,0.8897
0.328,0.8953
0.328,0.8953
0.3346,0.8953
0.3346,0.8953
0.3346,0.8985
0.3346,0.8985
0.3451,0.8985
0.3451,0.8985
0.3451,0.8985
0.3451,0.8985
0.3451,0.8985
0.3467,0.8985
0.3467,0.9038
0.3467,0.9038
0.3467,0.9151
0.3467,0.9151
0.3467,0.9151
0.3467,0.9151
0.3467,0.9151
0.3467,0.9151
0.3467,0.9151
0.3467,0.9151
0.3467,0.9345
0.3467,0.9345
0.3467,0.9485
0.3467,0.9553
0.3467,0.9553
0.3467,0.9553
0.3467,0.9633
0.3467,0.9633
0.3467,0.9656
0.3467,0.9656
0.3467,0.9656
0.3467,0.9656
0.3467,0.9656
0.3467,0.9656
0.3467,0.9656
0.362,0.9656
0.3677,0.9656
0.3677,0.9656
0.3677,0.9656
0.3677,0.9733
0.3677,0.9733
0.3677,0.9893
0.3677,1.0
0.3677,1.0
0.3677,1.0
0.3677,1.0
0.3677,1.0
0.3784,1.0
0.3784,1.0
0.3784,1.0
0.3796,1.0
0.3796,1.0
0.3796,1.0
0.3895,1.0
0.3895,1.0
0.3895,1.0
0.3895,1.0
