alphaH,alphaS
0.001,0.001
0.001,0.0158
0.0021,0.0158
0.0021,0.0158
0.0033,0.0158
0.0033,0.0158
0.0033,0.018
0.0033,0.0214
0.0033,0.0214
0.0033,0.0245
0.0033,0.0333
0.0033,0.0333
0.0033,0.0333
0.0033,0.0333
0.0033,0.0448
0.0033,0.0518
0.0114,0.0518
0.0114,0.0518
0.0114,0.0662
0.0114,0.0662
0.0114,0.067
0.0114,0.0775
0.0114,0.0775
0.0114,0.0775
0.0114,0.0775
0.0114,0.0775
0.0114,0.079
0.0114,0.079
0.0114,0.0834
0.0114,0.0873
0.0114,0.0898
0.0114,0.1005
0.0114,0.1005
0.0114,0.1005
0.0114,0.1005
0.0114,0.1005
0.0363,0.1005
0.0363,0.1005
0.0363,0.1005
0.0363,0.105
0.0451,0.105
0.0451,0.105
0.0451,0.105
0.0451,0.1226
0.0451,0.1226
0.0451,0.1226
0.0451,0.1226
0.0557,0.1226
0.0557,0.1249
0.0557,0.1284
0.0557,0.1284
0.0557,0.1284
0.0557,0.1453
0.0624,0.1453
0.0624,0.172
0.0624,0.172
0.0624,0.1845
0.0624,0.1845
0.0724,0.1845
0.0724,0.1861
0.0724,0.1936
0.0724,0.2046
0.0724,0.2046
0.0724,0.2046
0.0724,0.2088
0.0724,0.2088
0.0724,0.2269
0.0724,0.2269
0.0828,0.2269
0.0828,0.2338
0.0828,0.2338
0.0966,0.2338
0.1039,0.2338
0.112,0.2338
0.112,0.2338
0.1176,0.2338
0.1176,0.2338
0.1176,0.2338
0.1176,0.2338
0.1176,0.2338
0.1176,0.2338
0.1176,0.2338
0.1176,0.2442
0.1176,0.2442
0.1176,0.2531
0.1238,0.2531
0.1238,0.2594
0.1238,0.2594
0.1238,0.2594
0.1238,0.2594
0.1286,0.2594
0.1286,0.2594
0.1286,0.2594
0.1286,0.2716
0.1286,0.2716
0.1286,0.2851
0.1286,0.2851
0.1286,0.2851
0.1286,0.2851
0.1286,0.2851
0.1286,0.3052
0.1417,0.3052
0.1495,0.3052
0.1495,0.3052
0.1495,0.3262
0.1497,0.3262
0.1517,0.3262
0.1517,0.3262
0.1573,0.3262
0.1573,0.3335
0.1573,0.335
0.162,0.335
0.1819,0.335
0.1819,0.3393
0.1819,0.3393
0.1819,0.3393
0.1819,0.3617
0.1819,0.3617
0.1819,0.3653
0.1819,0.3653
0.1819,0.3653
0.1819,0.3653
0.1819,0.3653
0.1819,0.3653
0.1819,0.3653
0.1819,0.3653
0.1819,0.3752
0.1888,0.3752
0.1888,0.3783
0.1888,0.3783
0.2002,0.3783
0.2002,0.3783
0.2002,0.3816
0.2002,0.3907
0.2002,0.3907
0.2002,0.3937
0.2002,0.3937
0.2002,0.3937
0.2002,0.4021
0.2002,0.4021
0.2181,0.4021
0.2181,0.4021
0.2181,0.4021
0.2181,0.4034
0.2181,0.4034
0.2181,0.4049
0.2249,0.4049
0.2444,0.4049
0.2444,0.4049
0.2444,0.4049
0.2444,0.4139
0.2444,0.4308
0.2444,0.4374
0.2444,0.4374
0.2444,0.4389
0.2626,0.4389
0.2626,0.4506
0.2626,0.4506
0.2626,0.4598
0.2626,0.4598
0.2626,0.4638
0.2626,0.4642
0.2677,0.4642
0.2677,0.4642
0.2677,0.4683
0.2677,0.47
0.2677,0.4799
0.2756,0.4799
0.2756,0.4799
0.2756,0.4799
0.2771,0.4799
0.2771,0.4799
0.2849,0.4799
0.2849,0.4799
0.2849,0.4866
0.2849,0.4866
0.2849,0.4979
0.2871,0.4979
0.2925,0.4979
0.2925,0.4979
0.2925,0.4979
0.2925,0.4979
0.2925,0.4979
0.2925,0.4979
0.2929,0.4979
0.2929,0.4979
0.2929,0.5033
0.2929,0.5033
0.2929,0.5033
0.2992,0.5033
0.3114,0.5033
0.3114,0.5033
0.3114,0.5033
0.3114,0.5033
0.3114,0.5033
0.3353,0.5033
0.3529,0.5033
0.3529,0.5058
0.3648,0.5058
0.3648,0.5153
0.3648,0.5241
0.3654,0.5241
0.3654,0.5241
0.3654,0.5339
0.3654,0.5353
0.3654,0.5353
0.3654,0.5353
0.3654,0.5353
0.3654,0.5407
0.3667,0.5407
0.3667,0.5407
0.3667,0.5407
0.3667,0.5407
0.3667,0.5407
0.376,0.5407
0.376,0.5407
0.3815,0.5407
0.3836,0.5407
0.3836,0.5407
0.3836,0.5407
0.3836,0.5436
0.3861,0.5436
0.3861,0.5436
0.3861,0.5441
0.394,0.5441
0.394,0.5582
0.394,0.5582
0.394,0.5582
0.394,0.581
0.4132,0.581
0.4132,0.581
0.4207,0.581
0.4207,0.5872
0.4207,0.5872
0.4207,0.5945
0.4207,0.5945
0.4277,0.5945
0.4277,0.6106
0.4318,0.6106
0.4318,0.6106
0.4318,0.6151
0.4318,0.6151
0.4318,0.6155
0.4318,0.6155
0.4318,0.617
0.4318,0.617
0.4345,0.617
0.4404,0.617
0.4404,0.617
0.4404,0.6363
0.4448,0.6363
0.4448,0.6363
0.4448,0.6363
0.4448,0.6363
0.4512,0.6363
0.4512,0.6363
0.4528,0.6363
0.4528,0.6363
0.4528,0.6363
0.4528,0.6413
0.4609,0.6413
0.4609,0.6413
0.4609,0.6413
0.4609,0.6432
0.4609,0.6443
0.4609,0.6443
0.4609,0.6443
0.4609,0.6443
0.4609,0.6443
0.4609,0.6443
0.4699,0.6443
0.4699,0.6443
0.4768,0.6443
0.4768,0.6457
0.4901,0.6457
0.4901,0.6457
0.4901,0.6457
0.4901,0.6595
0.4901,0.6595
0.4901,0.6595
0.4901,0.6595
0.4901,0.6663
0.4906,0.6663
0.4906,0.6663
0.4906,0.6773
0.4906,0.6773
0.4906,0.6938
0.4906,0.6941
0.4906,0.6986
0.5033,0.6986
0.5041,0.6986
0.5041,0.6986
0.5041,0.7245
0.5041,0.7281
0.508,0.7281
0.508,0.7414
0.508,0.7414
0.508,0.7523
0.508,0.7523
0.5135,0.7523
0.5135,0.7523
0.5153,0.7523
0.5153,0.7651
0.538,0.7651
0.538,0.7651
0.538,0.7651
0.5433,0.7651
0.5433,0.7651
0.5433,0.7651
0.5433,0.7651
0.5433,0.7658
0.5433,0.7724
0.5433,0.7842
0.5433,0.8047
0.5516,0.8047
0.5585,0.8047
0.5585,0.8047
0.5585,0.8047
0.5585,0.8106
0.5586,0.8106
0.5586,0.8106
0.5586,0.8267
0.5586,0.8267
0.5586,0.8267
0.5586,0.8267
0.5586,0.8267
0.5586,0.8267
0.5704,0.8267
0.5704,0.8267
0.5704,0.8267
0.5704,0.8267
0.5704,0.8393
0.5704,0.8537
0.5704,0.8548
0.5704,0.8548
0.5845,0.8548
0.5869,0.8548
0.5869,0.8607
0.5869,0.8648
0.5869,0.8727
0.5869,0.8826
0.5869,0.8826
0.5869,0.8826
0.5869,0.8826
0.5869,0.8826
0.5869,0.8826
0.5869,0.8826
0.5869,0.8826
0.5869,0.8853
0.5937,0.8853
0.5937,0.8897
0.5937,0.8897
0.5937,0.8897
0.5937,0.8897
0.5956,0.8897
0.5956,0.8955
0.598,0.8955
0.598,0.897
0.598,0.897
0.598,0.897
0.598,0.897
0.598,0.897
0.598,0.897
0.6102,0.897
0.6209,0.897
0.6209,0.9083
0.6209,0.9083
0.6209,0.9083
0.6209,0.9083
0.6288,0.9083
0.6288,0.9083
0.6288,0.9083
0.6288,0.9083
0.6288,0.9253
0.6288,0.9357
0.6431,0.9357
0.6431,0.9358
0.6431,0.9358
0.6431,0.9358
0.6431,0.9463
0.6431,0.9463
0.6466,0.9463
0.6488,0.9463
0.6488,0.9463
0.6488,0.9594
0.6488,0.9761
0.6545,0.9761
0.6545,0.9761
0.6545,0.9761
0.6545,0.98
0.6545,0.98
0.6593,0.98
0.6593,0.98
0.6593,0.997
0.6671,0.997
0.6671,0.997
0.6671,0.9974
0.6866,0.9974
0.6866,0.9994
0.6866,0.9994
0.6866,0.9994
0.6866,0.9994
0.6866,1.0
0.6866,1.0
0.6866,1.0
0.6954,1.0
0.6954,1.0
0.6954,1.0
0.6954,1.0
0.6954,1.0
0.6954,1.0
0.6954,1.0
0.6954,1.0
0.6954,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.6967,1.0
0.7075,1.0
0.7075,1.0
0.7075,1.0
0.7075,1.0
0.7075,1.0
0.7075,1.0
0.7075,1.0
0.7075,1.0
0.7075,1.0
0.7089,1.0
0.7089,1.0
0.7176,1.0
0.7176,1.0
0.7176,1.0
0.7176,1.0
0.7176,1.0
0.7176,1.0
0.7176,1.0
0.7176,1.0
0.7176,1.0
0.7269,1.0
0.7269,1.0
0.7269,1.0
0.7269,1.0
0.7269,1.0
0.7269,1.0
0.7369,1.0
0.7369,1.0
0.7369,1.0
0.7369,1.0
0.7369,1.0
0.7369,1.0
0.7369,1.0
0.7369,1.0
0.7369,1.0
0.7475,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7553,1.0
0.7669,1.0
0.7669,1.0
0.7669,1.0
0.7669,1.0
0.7669,1.0
0.7669,1.0
0.7855,1.0
0.7855,1.0
0.7855,1.0
0.7855,1.0
0.7855,1.0
0.7855,1.0
0.7855,1.0
0.7855,1.0
0.7855,1.0
0.7897,1.0
0.7897,1.0
0.7897,1.0
0.8055,1.0
0.8055,1.0
0.8055,1.0
0.8055,1.0
0.8055,1.0
0.806,1.0
0.806,1.0
0.806,1.0
0.806,1.0
0.806,1.0
0.806,1.0
0.806,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8208,1.0
0.8342,1.0
0.8342,1.0
0.8342,1.0
0.8342,1.0
0.8342,1.0
0.8501,1.0
0.8501,1.0
0.8501,0.99
0.8501,0.99
0.8501,0.9826
0.8501,0.9826
0.8501,0.9826
0.861,0.9826
0.861,0.9826
0.861,0.9677
0.861,0.9686
0.861,0.969
0.861,0.969
0.861,1.0
0.861,0.9915
0.861,0.9915
0.861,0.9915
0.861,0.9915
0.861,0.9915
0.8566,0.9915
0.8566,0.9915
0.8566,0.9915
0.8566,0.9855
0.8566,0.9851
0.8467,0.9851
0.8467,0.9877
0.8467,0.9877
0.8533,0.9877
0.8533,0.9877
0.8533,0.9877
0.8362,0.9877
0.8362,0.9877
0.8362,0.9877
0.8362,0.9916
0.8362,0.9989
0.8362,0.9989
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8362,1.0
0.8439,1.0
0.8439,1.0
0.8439,0.9898
0.8439,0.9898
0.8439,0.9974
0.8439,0.9974
0.8439,0.9957
0.8439,0.9957
0.8439,0.9957
0.8439,0.9957
0.8439,0.9957
0.8439,0.9957
0.8439,0.9896
0.8439,0.9896
0.8439,0.9896
0.8439,0.996
0.8439,0.996
0.8439,0.996
0.8439,0.996
0.8439,0.992
0.8504,0.992
0.8504,0.992
0.8474,0.992
0.8474,0.992
0.8474,0.992
0.8474,0.9908
0.8474,1.0
0.8474,1.0
0.8474,1.0
0.8474,0.9969
0.8474,0.9969
0.8474,0.9969
0.8474,0.9969
0.8474,0.9969
0.8474,0.9942
0.8474,0.9844
0.8474,0.9904
0.8474,0.9904
0.861,0.9904
0.861,0.9829
0.861,0.9824
0.861,0.9824
0.861,0.9806
0.861,0.9548
0.861,0.9548
0.8618,0.9548
0.8618,0.9594
0.8618,0.9715
0.8618,0.9841
0.8618,0.9841
0.8618,0.9841
0.8618,0.9841
0.8618,0.9841
0.8504,0.9841
0.8504,0.9841
0.8504,0.9841
0.8504,1.0
0.8504,1.0
0.8504,1.0
0.8504,1.0
0.8504,1.0
0.8504,0.9908
0.8504,0.9908
0.8504,0.9908
0.8504,0.9908
0.8504,0.9908
0.8504,0.9826
0.8716,0.9826
0.8716,0.9826
0.8716,0.9621
0.8716,0.9695
0.8716,0.9695
0.8716,0.9695
0.8708,0.9695
0.8708,0.9695
0.8679,0.9695
0.8679,0.9535
0.8679,0.9609
0.8679,0.9609
0.8808,0.9609
0.8808,0.9609
0.8808,0.9609
0.8808,0.9609
0.8775,0.9609
0.8775,0.9609
0.8775,0.9478
0.8775,0.9478
0.8775,0.9503
0.8837,0.9503
0.8837,0.9503
0.8837,0.9503
0.8837,0.9503
0.8837,0.9598
0.8837,0.9598
0.8837,0.9598
0.8837,0.9581
0.8837,0.953
0.8837,0.9473
0.8952,0.9473
0.8922,0.9473
0.8922,0.9458
0.8922,0.9458
0.8922,0.9458
0.8905,0.9458
0.8848,0.9458
0.8848,0.9458
0.8848,0.9627
0.8848,0.9627
0.8848,0.9585
0.8688,0.9585
0.8688,0.9585
0.8804,0.9585
0.8804,0.9585
0.8804,0.9585
0.8804,0.9493
0.8804,0.9493
0.8804,0.9493
0.8804,0.9493
0.8891,0.9493
0.8891,0.9493
0.8891,0.9493
0.8891,0.9493
0.8891,0.9493
0.8767,0.9493
0.8767,0.9493
0.8767,0.9572
0.8767,0.958
0.8767,0.958
0.8767,0.9598
0.8767,0.9598
0.8767,0.9598
0.8767,0.9598
0.8767,0.956
0.8767,0.956
0.8767,0.956
0.8767,0.956
0.8767,0.9729
0.8767,0.9729
0.8767,0.9555
0.8767,0.9555
0.8767,0.9555
0.8767,0.9555
0.8767,0.9555
0.8767,0.9555
0.887,0.9555
0.887,0.9555
0.887,0.9324
0.9168,0.9324
0.9168,0.9324
0.9168,0.9324
0.9088,0.9324
0.9088,0.9324
0.9088,0.9324
0.9088,0.9257
0.9088,0.9257
0.9016,0.9257
0.9026,0.9257
0.9026,0.9257
0.9026,0.9257
0.909,0.9257
0.909,0.9257
0.8953,0.9257
0.8953,0.9257
0.9193,0.9257
0.9193,0.922
0.9193,0.922
0.9193,0.9063
0.9441,0.9063
0.9441,0.9054
0.9441,0.903
0.9441,0.903
0.9441,0.903
0.9441,0.9003
0.9441,0.9003
0.9441,0.8992
0.9441,0.8992
0.9441,0.8992
0.9441,0.8961
0.9441,0.8943
0.9441,0.8943
0.9441,0.8943
0.9441,0.8916
0.9441,0.8916
0.9419,0.8916
0.9419,0.8918
0.9419,0.8989
0.9419,0.8961
0.9419,0.8961
0.9332,0.8961
0.9332,0.8961
0.9332,0.8979
0.9392,0.8979
0.9392,0.8979
0.9392,0.8932
0.9392,0.8932
0.9392,0.8981
0.9392,0.8981
0.936,0.8981
0.936,0.8981
0.936,0.8905
0.936,0.899
0.936,0.899
0.936,0.899
0.936,0.8927
0.936,0.893
0.936,0.905
0.936,0.905
0.936,0.905
0.936,0.905
0.936,0.8924
0.936,0.8924
0.936,0.8924
0.936,0.8924
0.9448,0.8924
0.9448,0.8924
0.9326,0.8924
0.9326,0.8924
0.9326,0.8924
0.9326,0.8924
0.9379,0.8924
0.943,0.8924
0.943,0.8924
0.943,0.8872
0.943,0.888
0.9499,0.888
0.9499,0.8858
0.9499,0.8711
0.9499,0.8744
0.9499,0.8744
0.9639,0.8744
0.9639,0.8714
0.9639,0.8714
0.9639,0.8714
0.9639,0.8645
0.9727,0.8645
0.9727,0.8636
0.9727,0.8578
0.9727,0.8578
0.9727,0.8578
0.9727,0.8578
0.9727,0.8578
0.9727,0.858
0.9733,0.858
0.9733,0.8717
0.9733,0.8717
0.9733,0.866
0.9733,0.866
0.9733,0.8507
0.9767,0.8507
0.9783,0.8507
0.9783,0.8507
0.9783,0.8507
0.9783,0.8727
0.9783,0.8727
0.9709,0.8727
0.9709,0.8645
0.9709,0.8645
0.9716,0.8645
0.9716,0.8645
0.9716,0.8645
0.9716,0.8645
0.9716,0.8645
0.9716,0.8645
0.9811,0.8645
0.9811,0.8645
0.9811,0.8603
0.9746,0.8603
0.9746,0.8648
0.9746,0.8648
0.9746,0.8648
0.9746,0.8627
0.9746,0.8625
0.9746,0.8441
0.9746,0.8441
0.9818,0.8441
0.9818,0.8441
0.9818,0.8441
0.9818,0.8441
0.9818,0.8441
0.9818,0.8494
0.9818,0.8528
0.9818,0.8663
0.9818,0.8663
0.9725,0.8663
0.9725,0.8663
0.9725,0.8663
0.9725,0.8663
0.9695,0.8663
0.9715,0.8663
0.9715,0.8648
0.9715,0.8644
0.9715,0.8644
0.9715,0.8644
0.9715,0.8644
0.9715,0.8644
0.9715,0.8644
0.9747,0.8644
0.9747,0.8632
0.9747,0.8632
