alphaH,alphaS
0.001,0.001
0.0048,0.001
0.0228,0.001
0.0297,0.001
0.0297,0.001
0.0297,0.001
0.0297,0.0018
0.0374,0.0018
0.0374,0.0018
0.0374,0.0112
0.0374,0.0112
0.0374,0.0137
0.0374,0.0137
0.0374,0.024
0.0374,0.0345
0.0374,0.0361
0.0374,0.0361
0.0402,0.0361
0.0425,0.0361
0.0425,0.0449
0.0486,0.0449
0.0486,0.0449
0.0486,0.0449
0.0486,0.0449
0.0651,0.0449
0.0651,0.0525
0.0651,0.0525
0.0651,0.0531
0.0845,0.0531
0.0845,0.0531
0.0915,0.0531
0.0915,0.0595
0.0915,0.0595
0.0949,0.0595
0.0949,0.0595
0.0969,0.0595
0.0969,0.0595
0.0969,0.0611
0.0969,0.0611
0.0969,0.0611
0.1029,0.0611
0.1029,0.0807
0.1211,0.0807
0.1211,0.0807
0.1211,0.0807
0.1211,0.0807
0.1211,0.0807
0.1211,0.0807
0.1211,0.0807
0.1211,0.0807
0.1295,0.0807
0.1295,0.0819
0.1295,0.0819
0.1295,0.0819
0.1295,0.0819
0.1327,0.0819
0.1327,0.0819
0.1327,0.0819
0.1327,0.0819
0.1327,0.0921
0.1327,0.0921
0.1327,0.0921
0.1327,0.0921
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.1327,0.101
0.139,0.101
0.139,0.1053
0.139,0.1053
0.158,0.1053
0.158,0.1102
0.158,0.1102
0.158,0.1126
0.1744,0.1126
0.1744,0.1126
0.1744,0.1126
0.1744,0.1126
0.1744,0.1178
0.1744,0.1178
0.1744,0.1407
0.1744,0.1407
0.1744,0.1407
0.1744,0.1407
0.1758,0.1407
0.1758,0.1407
0.1758,0.1407
0.1758,0.151
0.1758,0.151
0.1782,0.151
0.1782,0.1738
0.1782,0.1738
0.1835,0.1738
0.1926,0.1738
0.1926,0.1768
0.1926,0.1879
0.1926,0.1879
0.1926,0.1879
0.1926,0.1879
0.1926,0.1879
0.1926,0.1879
0.1926,0.1973
0.1997,0.1973
0.2055,0.1973
0.2055,0.2009
0.2225,0.2009
0.2225,0.2009
0.227,0.2009
0.227,0.2056
0.2351,0.2056
0.2351,0.2056
0.2351,0.2056
0.2351,0.2056
0.2351,0.2103
0.2351,0.2103
0.2391,0.2103
0.2391,0.2103
0.2391,0.2103
0.2391,0.2201
0.2391,0.2222
0.2447,0.2222
0.2447,0.2222
0.2447,0.2413
0.247,0.2413
0.247,0.2413
0.247,0.2487
0.247,0.2536
0.247,0.2543
0.247,0.2546
0.2479,0.2546
0.249,0.2546
0.249,0.2731
0.2746,0.2731
0.2746,0.2731
0.282,0.2731
0.282,0.2731
0.282,0.2731
0.282,0.2939
0.282,0.3165
0.282,0.3201
0.282,0.321
0.282,0.3243
0.282,0.3408
0.282,0.3408
0.282,0.3408
0.282,0.3601
0.282,0.3789
0.2856,0.3789
0.2983,0.3789
0.2983,0.3789
0.2983,0.3789
0.3058,0.3789
0.3058,0.3905
0.3133,0.3905
0.3133,0.3905
0.3133,0.3905
0.3133,0.3905
0.3133,0.3905
0.3194,0.3905
0.3194,0.3905
0.3194,0.4033
0.3194,0.4033
0.3199,0.4033
0.3199,0.4033
0.3199,0.4163
0.3199,0.4163
0.3199,0.4163
0.3199,0.4299
0.3199,0.4374
