omegaH,omegaS
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.001,0.001
0.0092,0.001
0.0092,0.001
0.0092,0.0054
0.0155,0.0054
0.0241,0.0054
0.0241,0.0054
0.0241,0.017
0.0241,0.017
0.0241,0.017
0.0241,0.0362
0.0241,0.0362
0.0241,0.0438
0.0241,0.0438
0.0241,0.0494
0.0241,0.0494
0.0376,0.0494
0.0376,0.0494
0.0376,0.0494
0.0376,0.0575
0.0376,0.0582
0.0376,0.0582
0.0376,0.0582
0.0376,0.0582
0.0376,0.0582
0.0376,0.0582
0.0437,0.0582
0.0437,0.0582
0.0437,0.0582
0.0511,0.0582
0.0511,0.0629
0.0534,0.0629
0.0534,0.0804
0.0534,0.0804
0.0534,0.0804
0.0534,0.0847
0.0534,0.0847
0.0534,0.0864
0.0577,0.0864
0.0577,0.0864
0.0577,0.0864
0.0764,0.0864
0.0764,0.0926
0.0764,0.0964
0.08,0.0964
0.08,0.0964
0.0803,0.0964
0.0803,0.0964
0.0803,0.0964
0.0803,0.0999
0.0803,0.1093
0.084,0.1093
0.084,0.1093
0.084,0.1145
0.084,0.1145
0.084,0.1162
0.084,0.1264
0.084,0.13
0.084,0.1387
0.084,0.1387
0.084,0.15
0.0889,0.15
0.0889,0.15
0.0889,0.15
0.0889,0.158
0.0889,0.175
0.1011,0.175
0.1011,0.1774
0.1011,0.1812
0.1011,0.1863
0.1011,0.1931
0.1011,0.1937
0.1011,0.2093
0.1011,0.2203
0.1051,0.2203
0.1051,0.223
0.1051,0.223
0.1051,0.2236
0.1051,0.2236
0.1051,0.2399
0.1051,0.2399
0.1051,0.2399
0.1051,0.2467
0.1051,0.2467
0.1051,0.2467
0.1051,0.2467
0.1051,0.2467
0.1051,0.2467
0.1051,0.256
0.1051,0.256
0.1234,0.256
0.1234,0.2581
0.1234,0.2777
0.1234,0.2777
0.1234,0.2801
0.1234,0.2823
0.1234,0.2945
0.1234,0.2945
0.1234,0.2945
0.1234,0.2974
0.1234,0.2974
0.1343,0.2974
0.1343,0.3071
0.1343,0.3105
0.1343,0.3105
0.1343,0.3105
0.1343,0.3208
0.1343,0.3341
0.1343,0.3341
0.1378,0.3341
0.1378,0.3341
0.1378,0.3341
0.1378,0.3341
0.1378,0.3341
0.1378,0.3341
0.1378,0.3507
0.1378,0.3507
0.1378,0.3542
0.1378,0.3746
0.1378,0.3803
0.1378,0.3803
0.1378,0.3803
0.1378,0.3998
0.1378,0.3998
0.1378,0.4171
0.1378,0.4286
0.1378,0.4293
0.1378,0.4331
0.1378,0.4425
0.1378,0.4425
0.1378,0.4425
0.1378,0.4425
0.1378,0.4425
0.1446,0.4425
0.1446,0.4542
0.1446,0.4542
0.1446,0.4542
0.1446,0.4542
0.1446,0.4542
0.145,0.4542
0.145,0.4542
0.145,0.4542
0.145,0.4635
0.145,0.4654
0.145,0.4654
0.1606,0.4654
0.1606,0.4757
0.1606,0.4757
0.1606,0.4862
0.1606,0.4926
0.1606,0.4926
0.1606,0.4948
0.1646,0.4948
0.1646,0.4948
0.1646,0.4948
0.1646,0.4948
0.1646,0.4953
0.1646,0.4953
0.1646,0.4953
0.1646,0.503
0.1646,0.503
0.1646,0.5146
0.1646,0.5146
0.1646,0.5146
0.1734,0.5146
0.1734,0.5245
0.1903,0.5245
0.1903,0.5245
0.1903,0.5245
0.1903,0.5258
0.1903,0.5258
0.1903,0.5258
0.1903,0.5298
0.1903,0.5399
0.1973,0.5399
0.1973,0.5435
0.1985,0.5435
0.1985,0.5435
0.1985,0.5437
0.1985,0.5437
0.1985,0.5437
0.2053,0.5437
0.2053,0.5437
0.2053,0.5437
0.2053,0.5437
0.2053,0.5437
0.2457,0.5437
0.2502,0.5437
0.2502,0.5437
0.2502,0.5437
0.2595,0.5437
0.2595,0.5482
0.2595,0.5482
0.2601,0.5482
0.2601,0.5482
0.2601,0.5482
0.2601,0.5483
0.2601,0.5535
0.2601,0.5535
0.2601,0.5536
0.2601,0.5536
0.2601,0.5646
0.2601,0.5646
0.2601,0.5646
0.2601,0.5646
0.2601,0.5646
0.2601,0.5646
0.2601,0.5646
0.2601,0.5723
0.2601,0.5723
0.2601,0.5975
0.2601,0.5975
0.2601,0.603
0.2601,0.603
0.2601,0.6049
0.2601,0.6049
0.2601,0.6049
0.2601,0.6049
0.2601,0.6049
0.2601,0.6049
0.2601,0.6118
0.2601,0.6298
0.2601,0.6298
0.2601,0.6298
0.2601,0.6298
0.2601,0.6298
0.2601,0.6298
0.2601,0.6625
0.2601,0.6625
0.2601,0.664
0.2601,0.664
0.2601,0.664
0.2601,0.664
0.2665,0.664
0.2665,0.672
0.2665,0.6754
0.2665,0.6822
0.2665,0.6822
0.2665,0.6822
0.2665,0.6822
0.2665,0.702
0.2665,0.702
0.2665,0.7037
0.2665,0.7037
0.2665,0.7037
0.2665,0.7037
0.2665,0.7037
0.2665,0.7138
0.2665,0.7187
0.2665,0.7273
0.2665,0.7273
0.2665,0.7273
0.2665,0.7273
0.2813,0.7273
0.2813,0.7273
0.2813,0.7354
0.2813,0.7367
0.3027,0.7367
0.3029,0.7367
0.3029,0.7367
0.3062,0.7367
0.3062,0.7486
0.3062,0.7486
0.3062,0.7486
0.3178,0.7486
0.3178,0.7592
0.3178,0.7592
0.3178,0.7592
0.3178,0.7747
0.3178,0.7747
0.3178,0.7755
0.3178,0.7755
0.3178,0.7755
0.3178,0.7755
0.3178,0.7755
0.3229,0.7755
0.3259,0.7755
0.3259,0.7771
0.3259,0.7771
0.3259,0.7771
0.3437,0.7771
0.3437,0.778
0.3437,0.778
0.3437,0.7796
0.3437,0.787
0.3437,0.7928
0.3437,0.7928
0.3437,0.7949
0.3437,0.7949
0.3437,0.7949
0.3437,0.8056
0.3437,0.8056
0.3437,0.8074
0.3513,0.8074
0.3513,0.8117
0.3513,0.8117
0.3513,0.8218
0.3513,0.8218
0.3513,0.8307
0.3513,0.8365
0.3513,0.8365
0.3513,0.8369
0.3513,0.8369
0.3513,0.8369
0.3513,0.8369
0.3513,0.8369
0.3513,0.8369
0.356,0.8369
0.356,0.8369
0.356,0.8369
0.3638,0.8369
0.3638,0.8392
0.3638,0.8392
0.3638,0.843
0.3638,0.843
0.3638,0.843
0.3638,0.843
0.3638,0.843
0.3638,0.8498
0.3638,0.8543
0.3666,0.8543
0.3667,0.8543
0.3667,0.8759
0.3667,0.8843
0.3815,0.8843
0.3815,0.8949
0.3815,0.9103
0.3885,0.9103
0.3885,0.9103
0.3885,0.9103
0.3885,0.9103
