omegaH,omegaS
0.001,0.001
0.001,0.0187
0.001,0.0266
0.0164,0.0266
0.0164,0.0305
0.0164,0.0305
0.0377,0.0305
0.0435,0.0305
0.0435,0.0305
0.059,0.0305
0.0641,0.0305
0.0641,0.0305
0.0641,0.0305
0.0641,0.0305
0.0641,0.038
0.0707,0.038
0.0717,0.038
0.0717,0.0602
0.0717,0.073
0.0717,0.0734
0.0717,0.0734
0.0872,0.0734
0.0872,0.0871
0.0872,0.0988
0.0872,0.112
0.0889,0.112
0.0889,0.112
0.0889,0.112
0.0906,0.112
0.1059,0.112
0.1059,0.1164
0.1059,0.1164
0.1136,0.1164
0.1136,0.1164
0.1136,0.1256
0.1136,0.1315
0.1201,0.1315
0.1201,0.133
0.1201,0.141
0.1201,0.1464
0.1201,0.1464
0.1211,0.1464
0.1294,0.1464
0.1294,0.1464
0.1314,0.1464
0.14,0.1464
0.14,0.1464
0.14,0.1464
0.14,0.1464
0.141,0.1464
0.141,0.1464
0.1446,0.1464
0.1446,0.1464
0.1446,0.1464
0.1536,0.1464
0.1536,0.1546
0.1536,0.1546
0.1536,0.1546
0.1598,0.1546
0.1598,0.1546
0.1598,0.1546
0.1598,0.1546
0.1598,0.1698
0.1598,0.1761
0.1598,0.1761
0.1598,0.1761
0.1643,0.1761
0.174,0.1761
0.174,0.1776
0.174,0.1862
0.174,0.1862
0.174,0.1862
0.174,0.1862
0.174,0.1862
0.174,0.1862
0.174,0.1926
0.174,0.1926
0.174,0.1926
0.1857,0.1926
0.1857,0.1926
0.1857,0.1926
0.1907,0.1926
0.1907,0.2007
0.1934,0.2007
0.2009,0.2007
0.2009,0.2007
0.2009,0.2007
0.2009,0.2126
0.2009,0.2126
0.2009,0.2126
0.2009,0.2142
0.2009,0.2142
0.2009,0.2142
0.2009,0.2142
0.2009,0.2228
0.2009,0.2228
0.2181,0.2228
0.2181,0.2255
0.2181,0.2255
0.2181,0.2255
0.2181,0.2255
0.2181,0.2255
0.2181,0.2363
0.2181,0.2363
0.2181,0.2363
0.2299,0.2363
0.2299,0.2397
0.2299,0.2513
0.2299,0.2513
0.2299,0.2645
0.2299,0.2656
0.2299,0.2656
0.2299,0.2656
0.2299,0.2687
0.2299,0.2791
0.2322,0.2791
0.2486,0.2791
0.2486,0.2974
0.2486,0.2974
0.2486,0.2974
0.2486,0.3118
0.2486,0.3118
0.2486,0.3118
0.2671,0.3118
0.2715,0.3118
0.2726,0.3118
0.2726,0.3122
0.2726,0.3122
0.2726,0.3129
0.2726,0.3129
0.2726,0.3129
0.2726,0.3129
0.2726,0.3129
0.2726,0.3129
0.2726,0.3284
0.2776,0.3284
0.285,0.3284
0.2902,0.3284
0.2902,0.3284
0.2902,0.3284
0.2902,0.3284
0.2902,0.337
0.2902,0.337
0.2902,0.3483
0.2902,0.3483
0.2912,0.3483
0.299,0.3483
0.299,0.3483
0.299,0.3483
0.299,0.3483
0.299,0.3525
0.3122,0.3525
0.3122,0.3541
0.3122,0.3624
0.3122,0.3624
