omegaH,omegaS
0.001,0.001
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
0.0,0.0002
