omegaH,omegaS
0.001,0.001
0.001,0.0049
0.001,0.0049
0.001,0.0063
0.001,0.0067
0.001,0.0114
0.0093,0.0114
0.0093,0.0114
0.0204,0.0114
0.0204,0.0126
0.0204,0.0134
0.0204,0.0134
0.0216,0.0134
0.0216,0.0134
0.0216,0.0134
0.0216,0.0134
0.0216,0.0134
0.0216,0.0134
0.0216,0.0174
0.0216,0.0209
0.0216,0.0209
0.0251,0.0209
0.0251,0.0209
0.0251,0.0262
0.0395,0.0262
0.0395,0.0262
0.0395,0.0306
0.0395,0.0306
0.0395,0.0306
0.0395,0.0306
0.0395,0.0306
0.0395,0.0306
0.0397,0.0306
0.0397,0.0306
0.0397,0.0404
0.0397,0.0404
0.0397,0.0447
0.0397,0.0527
0.0397,0.0527
0.0397,0.0553
0.0397,0.0553
0.0444,0.0553
0.0444,0.0553
0.0444,0.0598
0.0461,0.0598
0.0461,0.0598
0.0461,0.0617
0.0461,0.0617
0.0461,0.0666
0.0461,0.0666
0.0461,0.0725
0.0461,0.0725
0.0461,0.0725
0.0461,0.0725
0.0461,0.0779
0.0461,0.0838
0.0493,0.0838
0.0535,0.0838
0.0563,0.0838
0.0563,0.0838
0.0563,0.0838
0.0597,0.0838
0.0597,0.0838
0.0597,0.0838
0.0636,0.0838
0.0636,0.0838
0.0677,0.0838
0.0677,0.0838
0.0677,0.0903
0.0677,0.0924
0.0677,0.0924
0.0732,0.0924
0.077,0.0924
0.0836,0.0924
0.0836,0.0929
0.0836,0.094
0.0836,0.097
0.0836,0.097
0.0836,0.097
0.0836,0.097
0.0836,0.1044
0.0836,0.1044
0.0836,0.1056
0.0836,0.1103
0.0836,0.1103
0.0836,0.1103
0.0836,0.1103
0.0836,0.1154
0.0836,0.129
0.0836,0.129
0.0847,0.129
0.0847,0.129
0.0847,0.1403
0.0847,0.1449
0.0847,0.1449
0.0847,0.1449
0.0847,0.1486
0.0847,0.1486
0.0867,0.1486
0.0867,0.1486
0.0879,0.1486
0.0879,0.1495
0.0923,0.1495
0.0943,0.1495
0.0943,0.1495
0.0943,0.1495
0.0948,0.1495
0.1033,0.1495
0.1033,0.1506
0.1132,0.1506
0.1132,0.1506
0.115,0.1506
0.115,0.1507
0.1156,0.1507
0.1156,0.1515
0.1156,0.1538
0.1221,0.1538
0.1221,0.1587
0.1221,0.1587
0.1221,0.1694
0.1221,0.1694
0.1228,0.1694
0.1228,0.1694
0.1228,0.1694
0.1228,0.1694
0.1228,0.1694
0.1228,0.1728
0.1228,0.1753
0.1228,0.1753
0.1228,0.1794
0.1228,0.1794
0.1228,0.1816
0.1228,0.1816
0.1311,0.1816
0.1377,0.1816
0.1377,0.1857
0.1377,0.1857
0.1377,0.1857
0.1377,0.1857
0.1377,0.1857
0.1377,0.1962
0.1378,0.1962
0.1378,0.2036
0.1403,0.2036
0.1403,0.2036
0.1403,0.2036
0.1403,0.2049
0.1443,0.2049
0.1443,0.2049
0.1443,0.2123
0.1443,0.2136
0.1443,0.2136
0.1443,0.2136
0.1443,0.2178
0.1443,0.2213
0.1464,0.2213
0.1464,0.2213
0.1469,0.2213
0.1469,0.2213
0.1469,0.2265
0.1469,0.2308
0.1469,0.2308
0.1469,0.2333
0.1469,0.2333
0.1469,0.2353
0.1469,0.2353
0.1469,0.2353
0.1476,0.2353
0.1476,0.2353
0.1476,0.2441
0.1476,0.2441
0.1476,0.2511
0.1476,0.2511
0.1476,0.2514
0.1476,0.2519
0.1513,0.2519
0.1513,0.2658
0.1513,0.2658
0.1513,0.2658
0.1513,0.2668
0.1513,0.2678
0.1513,0.2693
0.1513,0.2713
0.1513,0.2713
0.1538,0.2713
0.1538,0.2713
0.1538,0.279
0.1538,0.279
0.1538,0.279
0.1538,0.2863
0.1553,0.2863
0.1553,0.2863
0.1558,0.2863
0.1558,0.2935
0.1558,0.2935
0.1558,0.2974
0.1558,0.3018
0.1575,0.3018
0.1575,0.3051
0.1575,0.3063
0.1575,0.3075
0.1575,0.3097
0.1575,0.3154
0.1575,0.3154
0.1575,0.3154
0.1591,0.3154
0.1631,0.3154
0.1631,0.3154
0.1631,0.3171
0.1631,0.3171
0.1631,0.3171
0.1631,0.3188
0.1631,0.3188
0.1631,0.321
0.1646,0.321
0.1646,0.321
0.1646,0.321
0.1646,0.321
0.1651,0.321
0.1651,0.321
0.1651,0.3285
0.1651,0.3285
0.1651,0.3285
0.1651,0.3285
0.1651,0.3285
0.1651,0.3285
0.1651,0.3285
0.1651,0.332
0.1651,0.332
0.1651,0.332
0.1657,0.332
0.1713,0.332
0.1713,0.332
0.1713,0.332
0.1713,0.3358
0.1713,0.3403
0.1713,0.3403
0.1713,0.3403
0.1713,0.3403
0.1713,0.3498
0.1743,0.3498
0.1743,0.3498
0.1743,0.3542
0.1743,0.3542
0.1743,0.3564
0.1743,0.3564
0.1743,0.3564
0.1743,0.3656
0.1779,0.3656
0.1853,0.3656
0.1853,0.3693
0.1853,0.3749
0.1853,0.3761
0.1853,0.3761
0.1969,0.3761
0.1969,0.3791
0.1969,0.3791
0.1969,0.3791
0.1969,0.3819
0.1969,0.3819
0.1969,0.3887
0.1969,0.3887
0.2037,0.3887
0.2037,0.3887
0.2037,0.3887
0.2037,0.3887
0.2037,0.3887
0.2037,0.3925
0.2037,0.3925
0.2037,0.3925
0.2037,0.3932
0.2037,0.3932
0.2037,0.3932
0.2037,0.3937
0.2037,0.3937
0.2037,0.3937
0.2037,0.3937
0.2037,0.3937
0.2037,0.3983
0.2037,0.3983
0.2037,0.4044
0.2037,0.4188
0.2037,0.4194
0.2037,0.4194
0.2037,0.4194
0.2037,0.4194
0.2037,0.4194
0.2037,0.4265
0.2037,0.4345
0.2037,0.4345
0.2037,0.4345
0.2037,0.4438
0.2037,0.4444
0.2037,0.447
0.2037,0.447
0.2037,0.447
0.2082,0.447
0.2082,0.4483
0.2082,0.4548
0.2082,0.4589
0.2138,0.4589
